epoch,loss,lr,val_loss
0,0.2942880392074585,1e-04,0.3226267397403717
1,0.2149839550256729,1e-04,0.36111071705818176
2,0.17808562517166138,1e-04,0.40756168961524963
3,0.15521106123924255,1e-04,0.3881016671657562
4,0.1363043487071991,1e-04,0.4041394889354706
5,0.12305068969726562,1e-04,0.4306163787841797
6,0.10036510229110718,1e-05,0.3784486949443817
7,0.08898092061281204,1e-05,0.4071595370769501
8,0.08193302154541016,1e-05,0.42736756801605225
9,0.07621190696954727,1e-05,0.4429324269294739
10,0.07146868109703064,1e-05,0.45275864005088806
11,0.06760131567716599,1e-06,0.4445374310016632
12,0.06671325117349625,1e-06,0.4492175877094269
13,0.06608974933624268,1e-06,0.45317205786705017
14,0.06553225964307785,1e-06,0.4562898576259613
15,0.06500942260026932,1e-06,0.45910483598709106
16,0.0645521730184555,1e-07,0.45662614703178406
17,0.0644582211971283,1e-07,0.45624542236328125
18,0.06439395993947983,1e-07,0.4561610519886017
19,0.06433704495429993,1e-07,0.45626360177993774
20,0.06428348273038864,1e-07,0.4562993049621582
